DATE;SOURCE;PORT;DESTINATION;FLAG;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:07;190-0-175-100.gba.solunet.com.ar;2502;184.107.43.74.http:;S;1923888203:1923888323;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2503;184.107.43.74.http:;S;477956184:477956304;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2504;184.107.43.74.http:;S;1697346829:1697346949;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2505;184.107.43.74.http:;S;1581732153:1581732273;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2506;184.107.43.74.http:;S;2134846905:2134847025;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2507;184.107.43.74.http:;S;5001436:5001556;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2508;184.107.43.74.http:;S;100084791:100084911;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2509;184.107.43.74.http:;S;1351883007:1351883127;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2510;184.107.43.74.http:;S;892547770:892547890;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2511;184.107.43.74.http:;S;203925976:203926096;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2512;184.107.43.74.http:;S;93263311:93263431;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2513;184.107.43.74.http:;S;589592255:589592375;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2514;184.107.43.74.http:;S;1666861586:1666861706;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2515;184.107.43.74.http:;S;1444571600:1444571720;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2516;184.107.43.74.http:;S;702975955:702976075;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2517;184.107.43.74.http:;S;2016486038:2016486158;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2518;184.107.43.74.http:;S;1002497398:1002497518;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2519;184.107.43.74.http:;S;294189577:294189697;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2520;184.107.43.74.http:;S;1398461889:1398462009;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2521;184.107.43.74.http:;S;1995017329:1995017449;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2522;184.107.43.74.http:;S;921320533:921320653;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2523;184.107.43.74.http:;S;248505708:248505828;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2524;184.107.43.74.http:;S;558621145:558621265;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2525;184.107.43.74.http:;S;1118905776:1118905896;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2526;184.107.43.74.http:;S;1158043116:1158043236;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2527;184.107.43.74.http:;S;1469406826:1469406946;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2528;184.107.43.74.http:;S;492373102:492373222;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2529;184.107.43.74.http:;S;1687855121:1687855241;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2530;184.107.43.74.http:;S;1360633195:1360633315;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2531;184.107.43.74.http:;S;1274977706:1274977826;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2532;184.107.43.74.http:;S;549939990:549940110;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2533;184.107.43.74.http:;S;1109408249:1109408369;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2534;184.107.43.74.http:;S;1283855019:1283855139;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2535;184.107.43.74.http:;S;623143483:623143603;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2536;184.107.43.74.http:;S;709005792:709005912;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2537;184.107.43.74.http:;S;1528805205:1528805325;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2538;184.107.43.74.http:;S;940059508:940059628;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2539;184.107.43.74.http:;S;1190337142:1190337262;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2540;184.107.43.74.http:;S;1484037464:1484037584;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2541;184.107.43.74.http:;S;566224598:566224718;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2542;184.107.43.74.http:;S;788308167:788308287;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2543;184.107.43.74.http:;S;96067834:96067954;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2544;184.107.43.74.http:;S;1226579504:1226579624;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2545;184.107.43.74.http:;S;1551737466:1551737586;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2546;184.107.43.74.http:;S;368629672:368629792;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2547;184.107.43.74.http:;S;527715727:527715847;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2548;184.107.43.74.http:;S;1897998019:1897998139;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2549;184.107.43.74.http:;S;1187006652:1187006772;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2550;184.107.43.74.http:;S;836414851:836414971;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2551;184.107.43.74.http:;S;97200857:97200977;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2552;184.107.43.74.http:;S;964382000:964382120;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2553;184.107.43.74.http:;S;64311516:64311636;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2554;184.107.43.74.http:;S;1940462409:1940462529;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2555;184.107.43.74.http:;S;709004881:709005001;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2556;184.107.43.74.http:;S;1783812004:1783812124;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2557;184.107.43.74.http:;S;2027959598:2027959718;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2558;184.107.43.74.http:;S;763370841:763370961;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2559;184.107.43.74.http:;S;629902483:629902603;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2560;184.107.43.74.http:;S;1167925997:1167926117;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2561;184.107.43.74.http:;S;1590590930:1590591050;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2562;184.107.43.74.http:;S;1025391341:1025391461;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2563;184.107.43.74.http:;S;22267219:22267339;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2564;184.107.43.74.http:;S;1838110461:1838110581;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2565;184.107.43.74.http:;S;1314325144:1314325264;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2566;184.107.43.74.http:;S;1221538397:1221538517;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2567;184.107.43.74.http:;S;121272366:121272486;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2568;184.107.43.74.http:;S;1689815904:1689816024;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2569;184.107.43.74.http:;S;424777574:424777694;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2570;184.107.43.74.http:;S;1811461816:1811461936;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2571;184.107.43.74.http:;S;891455149:891455269;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2572;184.107.43.74.http:;S;378465819:378465939;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2573;184.107.43.74.http:;S;1060801994:1060802114;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2574;184.107.43.74.http:;S;887047860:887047980;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2575;184.107.43.74.http:;S;1083782921:1083783041;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2576;184.107.43.74.http:;S;1055260995:1055261115;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2577;184.107.43.74.http:;S;1170111755:1170111875;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2578;184.107.43.74.http:;S;1956050927:1956051047;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2579;184.107.43.74.http:;S;1016109235:1016109355;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2580;184.107.43.74.http:;S;1684776979:1684777099;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2581;184.107.43.74.http:;S;503501716:503501836;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2582;184.107.43.74.http:;S;1864451598:1864451718;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;mon;184.107.43.74.http:;S;289557681:289557801;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2584;184.107.43.74.http:;S;138098778:138098898;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2585;184.107.43.74.http:;S;1203053650:1203053770;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2586;184.107.43.74.http:;S;2045943531:2045943651;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2587;184.107.43.74.http:;S;155613128:155613248;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2588;184.107.43.74.http:;S;1854989337:1854989457;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2589;184.107.43.74.http:;S;1464992055:1464992175;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2590;184.107.43.74.http:;S;1763007414:1763007534;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2591;184.107.43.74.http:;S;1769477762:1769477882;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2592;184.107.43.74.http:;S;927510383:927510503;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2593;184.107.43.74.http:;S;262496618:262496738;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2594;184.107.43.74.http:;S;1944187333:1944187453;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2595;184.107.43.74.http:;S;1368242046:1368242166;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2596;184.107.43.74.http:;S;1996469549:1996469669;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2597;184.107.43.74.http:;S;755440943:755441063;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2598;184.107.43.74.http:;S;2061395892:2061396012;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2599;184.107.43.74.http:;S;1161699354:1161699474;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;zebrasrv;184.107.43.74.http:;S;628612553:628612673;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;zebra;184.107.43.74.http:;S;126113657:126113777;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;ripd;184.107.43.74.http:;S;545657814:545657934;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;ripngd;184.107.43.74.http:;S;118227196:118227316;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;ospfd;184.107.43.74.http:;S;2052107445:2052107565;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;bgpd;184.107.43.74.http:;S;791895479:791895599;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;ospf6d;184.107.43.74.http:;S;1716341514:1716341634;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;ospfapi;184.107.43.74.http:;S;1585739250:1585739370;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;isisd;184.107.43.74.http:;S;1570200442:1570200562;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2609;184.107.43.74.http:;S;1478292369:1478292489;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2610;184.107.43.74.http:;S;178640618:178640738;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2611;184.107.43.74.http:;S;1503505816:1503505936;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2612;184.107.43.74.http:;S;1661422384:1661422504;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2613;184.107.43.74.http:;S;369358272:369358392;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2614;184.107.43.74.http:;S;64354808:64354928;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2615;184.107.43.74.http:;S;884510772:884510892;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2616;184.107.43.74.http:;S;1885396166:1885396286;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2617;184.107.43.74.http:;S;817987225:817987345;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2618;184.107.43.74.http:;S;2132864374:2132864494;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2619;184.107.43.74.http:;S;1242566005:1242566125;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2620;184.107.43.74.http:;S;1759567823:1759567943;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2621;184.107.43.74.http:;S;1151909946:1151910066;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2622;184.107.43.74.http:;S;1189070135:1189070255;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2623;184.107.43.74.http:;S;651075127:651075247;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2624;184.107.43.74.http:;S;1947905188:1947905308;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2625;184.107.43.74.http:;S;581296706:581296826;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2626;184.107.43.74.http:;S;66975375:66975495;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2627;184.107.43.74.http:;S;253927097:253927217;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;dict;184.107.43.74.http:;S;1897592815:1897592935;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2629;184.107.43.74.http:;S;616917477:616917597;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2630;184.107.43.74.http:;S;1868567734:1868567854;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2631;184.107.43.74.http:;S;1986188842:1986188962;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2632;184.107.43.74.http:;S;1095894460:1095894580;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2633;184.107.43.74.http:;S;1890826048:1890826168;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2634;184.107.43.74.http:;S;194243508:194243628;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2635;184.107.43.74.http:;S;205737932:205738052;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2636;184.107.43.74.http:;S;569721151:569721271;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2637;184.107.43.74.http:;S;855051032:855051152;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2638;184.107.43.74.http:;S;499983177:499983297;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2639;184.107.43.74.http:;S;1074718027:1074718147;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2640;184.107.43.74.http:;S;1910064303:1910064423;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2641;184.107.43.74.http:;S;1037178976:1037179096;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2642;184.107.43.74.http:;S;2107051510:2107051630;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2643;184.107.43.74.http:;S;338653346:338653466;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2644;184.107.43.74.http:;S;396310051:396310171;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2645;184.107.43.74.http:;S;196892786:196892906;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2646;184.107.43.74.http:;S;624912323:624912443;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2647;184.107.43.74.http:;S;1418281182:1418281302;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2648;184.107.43.74.http:;S;1247502939:1247503059;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2649;184.107.43.74.http:;S;97958320:97958440;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2650;184.107.43.74.http:;S;1359696980:1359697100;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2651;184.107.43.74.http:;S;349835797:349835917;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2652;184.107.43.74.http:;S;367768365:367768485;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2653;184.107.43.74.http:;S;455081173:455081293;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2654;184.107.43.74.http:;S;1262849347:1262849467;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2655;184.107.43.74.http:;S;444010779:444010899;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2656;184.107.43.74.http:;S;727345824:727345944;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2657;184.107.43.74.http:;S;32346209:32346329;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2658;184.107.43.74.http:;S;760422680:760422800;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2659;184.107.43.74.http:;S;514200755:514200875;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2660;184.107.43.74.http:;S;2058081561:2058081681;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2661;184.107.43.74.http:;S;818181888:818182008;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2662;184.107.43.74.http:;S;928174225:928174345;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2663;184.107.43.74.http:;S;1336469386:1336469506;;512;;120:
11:42:07;190-0-175-100.gba.solunet.com.ar;2664;184.107.43.74.http:;S;1786409770:1786409890;;512;;120:
